row,column,previous,corrected,evidence
0,Detection Notes,">66% of the posterior probability located in one of the directional maps, weighted correlation >0.6, max. jump distance<40% of the track, spatial coverage > 20% of the track / Provisional mixed-protocol row: linear-track spike-density candidates and open-field decoding use different rules. Published Science supplement not retrieved; do not treat the numeric columns as one verified detector configuration. See paper note for the released-code values. / Verified released code: spike-density and secondary ripple candidates use 3 SD, Gaussian SD 12.5 ms and peak separation 70 ms, with no candidate duration limit. The 50 ms duration is a decoded linear-track replay criterion; 50 ms grouping also occurs at the decoded-sequence stage. The 80 ms decoding window is the open-field protocol; the 10-cell criterion is linear-track only. Open-field code defaults include a 100 ms duration, differing from the preprint description.","Published supplement pp. 5-8 distinguishes linear-track spike-density candidates from open-field decoding. SDE and secondary SWR peaks exceed 3 SD after Gaussian SD 12.5 ms smoothing; speed <5 cm/s, boundaries at the mean. Track replay requires >66% posterior in one directional map, weighted correlation >0.6, jump <40% of track, coverage >20% and >=10 cells. Fig. S2 controls use SWR candidates, correlation >0.7, or Spearman p<0.05. Arena subsequences merge across gaps <20 cm and <50 ms; final duration >50 ms. Released code merges candidate peaks within 70 ms without candidate duration limits. Its replay extraction and arena combination use 50 ms, overriding the generic 100 ms default; combination accepts duration >=50 ms. Code arena spatial merging uses 0.2*maze_size cm rather than fixed 20 cm. No SDE/SWR overlap is required for primary arena replay. Published spike density includes all cells; released code selects excitatory cells.","Published Science supplement science.ads4760_sm.pdf, pp. 5-8 and Fig. S2 pp. 16-17; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), find_candidate_events_2.m, load_replayEvents_cm.m:55-61/101-104, Open_Field/do_combine_open_field_replay_events.m:40/77, compute_allSequences_NaNseparated_merge.m. Generic 100 ms duration is overridden by 50 ms; text/code spatial merging and cell-selection differences remain."
0,Decoding,Bayes,Bayes; rank-order correlation (track control),"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: Bayesian primary analysis and independent rank-order control."
0,Time bin (ms),80,20 (track); 80 (arena),"Published Science supplement science.ads4760_sm.pdf, p. 6: track 20 ms, arena 80 ms; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_binDecoding_cm.m."
0,Place field smooth (cm),#N/A,2 (track text; per pass in code); 8 (arena text); 4 (arena code),"Published Science supplement science.ads4760_sm.pdf, p. 5: SD 2 cm track / 8 cm arena; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_AnalysisInformation_cm.m, load_clusters_rate_maps_cm.m, compute_rateMap.m and setUp_gaussFilt.m imply nominal 2 cm per track filtering pass / 4 cm arena SD."
0,Trajectory,Posterior center of mass,Weighted correlation (track); posterior center of mass (arena),"Published Science supplement science.ads4760_sm.pdf, pp. 6-8: track weighted correlation, arena posterior COM; code first-coordinate jump differs from text Euclidean jump."
0,Decoding notes,,"Published supplement pp. 5-8: track windows 20 ms, arena 80 ms; code establishes 5 ms steps (text says overlapping by 5 ms). Spatial bins are 2 cm; Gaussian SD is 2 cm for track and 8 cm for arena in text. Track code applies a nominal 2 cm Gaussian per filtfilt pass. Arena code passes 8/2=4 as mvnpdf covariance, giving nominal SD sqrt(4)*2=4 cm. Published main text reports mean positional errors 2.9 cm (track) and 3.4 cm (arena), evaluated with nonoverlapping 400 ms windows; Methods exclude sessions with error >10 cm. Arena text defines Euclidean COM jumps; released compute_filtering_binDecoding_cm instead thresholds the absolute change of the first COM coordinate. Text/code differences and caller limits are recorded in the paper note.","Published Science supplement science.ads4760_sm.pdf, pp. 5-8; published main text p. 541 (errors 2.9/3.4 cm); paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), compute_rateMap.m, setUp_gaussFilt.m and compute_filtering_binDecoding_cm.m:15."
0,Shuffle Method,"none (criteria-based: weighted correlation, coverage, posterior difference, jump)",none for primary criteria-based replay; Spearman test for track rank-order control,"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: primary replay uses fixed criteria; rank-order control uses Spearman p<0.05. spearman_median.m calls MATLAB corr(type=Spearman). The 5000 shuffles on pp. 8-9 test replay-pair statistics, not event significance."
0,Sig. Thresh.,#N/A,Criteria-based (primary); Spearman p<0.05 (track control),"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: primary replay uses fixed criteria; rank-order control uses Spearman p<0.05. spearman_median.m calls MATLAB corr(type=Spearman). The 5000 shuffles on pp. 8-9 test replay-pair statistics, not event significance."
0,Reconst. Error bin (ms),#N/A,400,"Published Science supplement science.ads4760_sm.pdf, p. 6: nonoverlapping 400 ms windows during movement."
2,Decoding notes,,"20 ms refers to UMAP candidate-event bins; Bayesian equations describe 100 ms bins. Trial-label shuffling (1000 repetitions) tests behavioral decoding accuracy and does not establish the number of replay-event shuffles. The archived Python main.py is a template, not the replay analysis.",Yang supplementary Methods pp. 8-9 (combined PDF pp. 15-16); exact tagged GitHub tree 2fa546845defbdd750c9059e7d54489782fed57c.
2,Shuffles (#),#N/A,Not reported,Yang supplementary Methods pp. 8-9 (combined PDF pp. 15-16); exact tagged GitHub tree 2fa546845defbdd750c9059e7d54489782fed57c.
2,Sig. Thresh.,#N/A,Both distance-to-manifold and trajectory-length tests; cutoff not reported,Yang supplementary Methods pp. 8-9 (combined PDF pp. 15-16); exact tagged GitHub tree 2fa546845defbdd750c9059e7d54489782fed57c.
3,Detection Notes,MUA and SWR,"MUA and SWR / Independently reopened release: 41-point gausswin(alpha=2) on 1 ms MUA bins gives nominal SD 10 ms per pass (filtfilt effective finite-kernel SD about 12.58 ms); paper says 5 ms. Ripple envelope uses smooth(...,15) at 1 kHz (15 ms moving average); paper says 100 ms. The batch script calls extract_replay_events, but that function is absent from the complete release, so the paper's 750 ms maximum is retained.","Zenodo 10085294 / dbendor/Nat_Com_Huelin_Gorriz_et_al b0676a5: batch_analysis_folders.m, list_of_parameters.m, process_clusters.m and extract_CSC.m."
