First Author,Last Author,Year,DOI,Journal,Species,Detection,Detection Notes,MUA Z-score Thresh. (STD),SWR Z-score Thresh. (STD),Animal Speed (cm/s),MUA smooth (ms),SWR smooth (ms),Min. Cells (#),SWR electrodes (#),SWR Low Band (Hz),SWR High Band (Hz),Min. Duration (ms),Max Duration (ms),Combine Events Thresh. (ms),Decoding,Time bin (ms),Position bin (cm),Place field smooth (cm),Trajectory,Decoding notes,Reconst. Error (cm),% Decoded,Spike sorting,Time bin step (ms),Shuffle Method,Shuffles (#),Sig. Thresh.,% Decoded denom.,Reconst. Error bin (ms)
Mallory,Foster,2025,https://doi.org/10.1126/science.ads4760,Science,Rats,"MUA, Decoding","Published supplement pp. 5-8 distinguishes linear-track spike-density candidates from open-field decoding. SDE and secondary SWR peaks exceed 3 SD after Gaussian SD 12.5 ms smoothing; speed <5 cm/s, boundaries at the mean. Track replay requires >66% posterior in one directional map, weighted correlation >0.6, jump <40% of track, coverage >20% and >=10 cells. Fig. S2 controls use SWR candidates, correlation >0.7, or Spearman p<0.05. Arena subsequences merge across gaps <20 cm and <50 ms; final duration >50 ms. Released code merges candidate peaks within 70 ms without candidate duration limits. Its replay extraction and arena combination use 50 ms, overriding the generic 100 ms default; combination accepts duration >=50 ms. Code arena spatial merging uses 0.2*maze_size cm rather than fixed 20 cm. No SDE/SWR overlap is required for primary arena replay. Published spike density includes all cells; released code selects excitatory cells.",3,3,5,12.5,12.5,10,1,150,250,50,#N/A,50,Bayes; rank-order correlation (track control),20 (track); 80 (arena),2,2 (track text; per pass in code); 8 (arena text); 4 (arena code),Weighted correlation (track); posterior center of mass (arena),"Published supplement pp. 5-8: track windows 20 ms, arena 80 ms; code establishes 5 ms steps (text says overlapping by 5 ms). Spatial bins are 2 cm; Gaussian SD is 2 cm for track and 8 cm for arena in text. Track code applies a nominal 2 cm Gaussian per filtfilt pass. Arena code passes 8/2=4 as mvnpdf covariance, giving nominal SD sqrt(4)*2=4 cm. Published main text reports mean positional errors 2.9 cm (track) and 3.4 cm (arena), evaluated with nonoverlapping 400 ms windows; Methods exclude sessions with error >10 cm. Arena text defines Euclidean COM jumps; released compute_filtering_binDecoding_cm instead thresholds the absolute change of the first COM coordinate. Text/code differences and caller limits are recorded in the paper note.","2.9 (track), 3.4 (arena)",#N/A,Sorted,5,none for primary criteria-based replay; Spearman test for track rank-order control,#N/A,Criteria-based (primary); Spearman p<0.05 (track control),#N/A,400
Widloski,Foster,2025,https://doi.org/10.1038/s41467-025-65181-5,Nature Communications,Rats,Decoding,"Decoded replay with no ripple or burst requirement / candidate = continuous epoch >=100 ms of smoothly changing decoded position / merged if gap <20 cm and <50 ms; kept if duration >100 ms and dispersion >12 cm / ripples (2 SD, >=15 ms) and bursts (3 SD, >=50 ms) label events after detection / Replay is defined by decoding (80 ms windows, 5 ms steps, >100 ms duration); secondary ripple detector: 2 SD, >=15 ms, merge gaps <50 ms; secondary burst detector: 3 SD, >=50 ms. Both traces use Gaussian SD 80 ms. Replay significance requires p<0.05 for both posterior-spread and jump-size measures against 100 place-cell identity shuffles. Separate 100-snippet tests assess ripple/burst absence. Publisher correction of 17 April 2026 changes references only.",3,2,5,80,80,#N/A,64,100,220,100,#N/A,50,Bayes,80,2,8,Posterior center of mass,Memory-less Bayesian decoding with a uniform prior,#N/A,#N/A,Sorted,5,Place cell-ID shuffle,100,p<0.05,#N/A,#N/A
Yang,Buzsáki,2024,https://doi.org/10.1126/science.adk8261,Science,"Rats, Mice","SWR, MUA",MUA and SWR / MUA with at least one LFP w/ SWR / NREM and quiet waking (automatic state scoring with manual curation) / The 20 ms decoding entry describes UMAP population vectors; the supplementary Bayesian reconstruction uses 100 ms windows. The MUA threshold does not specify the independent LFP detector.,3,Not reported,#N/A,15,Not reported,5,Not reported,Not reported,Not reported,50,500,#N/A,"UMAP
Bayes",20,5,10,KNN,"20 ms refers to UMAP candidate-event bins; Bayesian equations describe 100 ms bins. Trial-label shuffling (1000 repetitions) tests behavioral decoding accuracy and does not establish the number of replay-event shuffles. The archived Python main.py is a template, not the replay analysis.",Not reported,Not reported,Sorted,20,Cell-ID circular shuffle; time-bin shuffle,Not reported,Both distance-to-manifold and trajectory-length tests; cutoff not reported,#N/A,#N/A
Huelin Gorriz,Bendor,2023,https://doi.org/10.1038/s41467-023-43939-z,Nature Communications,Rats,"SWR, MUA","MUA and SWR / Released implementation: 41-point gausswin(alpha=2) on 1 ms MUA bins gives nominal SD 10 ms per pass (filtfilt effective finite-kernel SD about 12.58 ms); paper says 5 ms. Ripple envelope uses smooth(...,15) at 1 kHz (15 ms moving average); paper says 100 ms. The batch script calls extract_replay_events, but that function is absent from the complete release, so the paper's 750 ms maximum is retained.",3,3,5,10,15,5,1,125,300,100,750,50,Bayes,20,10,0,Weighted correlation,Whole-event replay must pass all three shuffle tests at p<0.05; a split half must pass all three at p<0.025. Shuffles are 1000 per method.,Not reported,Not reported,Sorted,20,Spike-train circular shift; place-field shift; per-bin circular shift of position,1000,Whole event p<0.05; split half p<0.025 (all three),#N/A,#N/A
Harvey,Fernandez-Ruiz,2023,https://doi.org/10.1016/j.neuron.2023.04.015,Neuron,Rats,SWR,"SWR / ripple with a simultaneous radiatum sharp wave, detected by neurocode DetectSWR on one pyramidal and one radiatum channel (code; the text describes difference-of-Gaussians ripple power at 4 SD extended to 1 SD, >= 15 ms, and a 2.5 SD, 20-400 ms sharp wave) / sessions without a radiatum channel: FindRipples (code) / replay candidates: ripples >= 80 ms with >= 5 active place cells; events with >50% empty time bins removed / Secondary sessions without radiatum use FindRipples at 100-250 Hz, peak 3 SD, bounds 1 SD, maximum 300 ms. Main numeric fields describe the DetectSWR path; its SD is a local feature scale.",#N/A,2.5,#N/A,#N/A,#N/A,5,1,80,250,80,#N/A,#N/A,Bayes,20,3,3,Weighted correlation,,Not reported,Not reported,Sorted,20,Per-bin circular shift of the posterior,1000,p<0.05,#N/A,#N/A
Liu,Fernandez-Ruiz,2023,https://doi.org/10.1126/science.adi8237,Science,Rats,"SWR, MUA","MUA and SWR
k-means clustering of ripple power
sharp wave detected from radiatum",2,Adaptive,#N/A,10,#N/A,#N/A,1,80,250,100,500,#N/A,Bayes,20,3,3,Radon transform,,Not reported,Not reported,Sorted,20,Per-bin random spatial shift of the reconstruction matrix; cell-ID shuffle,500,95th percentile,#N/A,#N/A
Tirole,Bendor,2022,https://doi.org/10.7554/eLife.79031,eLife,Rats,"SWR, MUA","MUA and SWR / MUA burst with ripple-band z >= 3 inside it / Code values: MUA Gaussian SD 10 ms per pass via filtfilt (effective SD about 12.6 ms for the finite kernel); ripple 15 ms moving average; no maximum-duration exclusion. Text instead states 5 ms, 100 ms and 750 ms, respectively. Minimum 100 ms precedes 50 ms merging.",3,3,5,10,15,5,1,125,300,100,#N/A,50,Bayes,20,10,0,Weighted correlation,Whole-event replay must pass all three shuffle tests at p<0.05; a split half must pass all three at p<0.025. Shuffles are 1000 per method.,Not reported,Not reported,Sorted,20,Spike-train circular shift; place-field shift; per-bin circular shift of position,1000,Whole event p<0.05; split half p<0.025 (all three),#N/A,#N/A
Bush,Burgess,2022,https://doi.org/10.1016/j.cub.2021.10.033,Current Biology,Rats,MUA,"MUA / median speed used for immobility / >= 5 or 15% of pyramidal cells active, whichever is larger / ripple-band detector (150-250 Hz, 5 ms smoothing, 3 SD, one channel) as a separate control",3,3,10,5,5,5,1,150,250,40,500,40,Bayes,10,2,10,Radon transform,,"outbound (13.7cm)
inbound (12.8cm)",13.9%,Sorted,10,Cell-ID shuffle,100,95th percentile,candidate events,500
Berners-Lee,Foster,2022,https://doi.org/10.1016/j.neuron.2022.03.010,Neuron,Rats,MUA,MUA / 20 ms decoding windows are used both with 5 ms steps and without overlap (20 ms steps); the step column records the latter variant.,3,#N/A,5,10,#N/A,#N/A,#N/A,#N/A,#N/A,100,500,#N/A,Bayes,20,2.5,5,"Weighted correlation, Radon transform","Primary event criteria are abs(weighted correlation)>0.6 and maximum jump<0.4 of track length. Paper describes 20 ms windows both in 5 ms steps and without overlap; the released spike-density helper uses nonoverlapping 20 ms windows. The 5000 time shuffles test counts of qualifying events, not a p<0.05 test for each replay.",Not reported,Not reported,Sorted,5 or 20,Time-bin shuffle (test of event counts),5000,Criteria-based events; p<0.05 on counts,#N/A,#N/A
Widloski,Foster,2022,https://doi.org/10.1016/j.neuron.2022.02.002,Neuron,Rats,Decoding,Decoded all immobility,#N/A,#N/A,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,#N/A,50,Bayes,80,2,8,Posterior center of mass,"demarcate events based on
posterior spread < 10 cm
posterior jump size < 20 cm",Not reported,Not reported,Sorted,5,none (posterior spread and jump thresholds),#N/A,#N/A,#N/A,250
