row,doi,paper,column,previous,corrected,evidence,paper_note
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Detection,Decoding,"MUA, Decoding","Published Science supplement science.ads4760_sm.pdf, pp. 6-8, Replay detection; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), do_combine_linear_track_replay_events.m.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Detection Notes,">66% of the posterior probability located in one of the directional maps, weighted correlation >0.6, max. jump distance<40% of the track, spatial coverage > 20% of the track","Published supplement pp. 5-8 distinguishes linear-track spike-density candidates from open-field decoding. SDE and secondary SWR peaks exceed 3 SD after Gaussian SD 12.5 ms smoothing; speed <5 cm/s, boundaries at the mean. Track replay requires >66% posterior in one directional map, weighted correlation >0.6, jump <40% of track, coverage >20% and >=10 cells. Fig. S2 controls use SWR candidates, correlation >0.7, or Spearman p<0.05. Arena subsequences merge across gaps <20 cm and <50 ms; final duration >50 ms. Released code merges candidate peaks within 70 ms without candidate duration limits. Its replay extraction and arena combination use 50 ms, overriding the generic 100 ms default; combination accepts duration >=50 ms. Code arena spatial merging uses 0.2*maze_size cm rather than fixed 20 cm. No SDE/SWR overlap is required for primary arena replay. Published spike density includes all cells; released code selects excitatory cells.","Published Science supplement science.ads4760_sm.pdf, pp. 5-8 and Fig. S2 pp. 16-17; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), find_candidate_events_2.m, load_replayEvents_cm.m:55-61/101-104, Open_Field/do_combine_open_field_replay_events.m:40/77, compute_allSequences_NaNseparated_merge.m. Generic 100 ms duration is overridden by 50 ms; text/code spatial merging and cell-selection differences remain.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,MUA Z-score Thresh. (STD),#N/A,3,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,SWR Z-score Thresh. (STD),#N/A,3,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,MUA smooth (ms),#N/A,12.5,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,SWR smooth (ms),#N/A,12.5,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,SWR electrodes (#),#N/A,1,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,SWR Low Band (Hz),#N/A,150,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,SWR High Band (Hz),#N/A,250,"Published Science supplement science.ads4760_sm.pdf, p. 5, Spike density and sharp-wave ripple amplitude.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Decoding,Bayes,Bayes; rank-order correlation (track control),"Published Science supplement science.ads4760_sm.pdf, pp. 6-7: Bayesian primary analysis and independent rank-order control.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Time bin (ms),80,20 (track); 80 (arena),"Published Science supplement science.ads4760_sm.pdf, p. 6: track 20 ms, arena 80 ms; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_binDecoding_cm.m.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Place field smooth (cm),#N/A,2 (track text; per pass in code); 8 (arena text); 4 (arena code),"Published Science supplement science.ads4760_sm.pdf, p. 5: SD 2 cm track / 8 cm arena; paper release v1.0.0 (128513a656bdacfc11a0e0dfbcaf20e2c4515520), load_AnalysisInformation_cm.m, load_clusters_rate_maps_cm.m, compute_rateMap.m and setUp_gaussFilt.m imply nominal 2 cm per track filtering pass / 4 cm arena SD.",papers/00_Mallory_2025.md
0,https://doi.org/10.1126/science.ads4760,Mallory 2025,Trajectory,Posterior center of mass,Weighted correlation (track); posterior center of mass (arena),"Published Science supplement science.ads4760_sm.pdf, pp. 6-8: track weighted correlation, arena posterior COM; code first-coordinate jump differs from text Euclidean jump.",papers/00_Mallory_2025.md
